id,type1,type2,name,cat_id,seller_id,status,cat1,componentiIds,image1,shopable_video_ids,store_names
505,Video,,Riwaaz for the Roots,,"[274,3669,3673,5151,5170,5286,5293,5294,5408,5808]",on,,,https://zulushop.in/uploads/media/2026/Galleries/the%20ethnic.png,"[161,185,187,462,90,146,167,168,212,215,218,227,228,230,239,369,370,371,372,405,410]","Seevan Apparels Urbana, Supertex Styles, Rreflection, Adayein by Ruchika, Radha Rani Couture, Inloom, Couture By Reena, Tulsee, Paisley, Silk Fab"
506,Video,,Pallu for the Power,,"[274,5151,5173,5293,5294,5320,5808]",on,,,https://zulushop.in/uploads/media/2026/Galleries/the%20saree.png,"[186,147,170,171,231,237,241,406,407,408]","Seevan Apparels Urbana, Adayein by Ruchika, Roohani, Couture By Reena, Tulsee, 1727 Pink Jaipur, Silk Fab"
507,Video,,Silai for the Grace,,"[274,5286,5293,5383,5808]",on,,,https://zulushop.in/uploads/media/2026/Galleries/the%20suit.png,"[188,213,214,229,232,345,409,411]","Seevan Apparels Urbana, Inloom, Couture By Reena, Tora, Silk Fab"
508,Video,,Walk for the Woman,,"[3547,3667,5116,5125,5146,5303,5314,5383]",on,,,https://zulushop.in/uploads/media/2026/Galleries/the%20office.png,"[172,183,184,130,131,157,104,177,138,139,140,141,142,219,252,253,254,255,256,257,258,259,233,343,344,346]","Shahtut, Perfectdate, Amoli Designer, Exportify, The House Of Tara, Expor Vogue, Vaatz Culture, Tora"
509,Video,,Nazariya for the Mood,,"[4810,5123,5129,5168,5186,5441,5465]",on,,,https://zulushop.in/uploads/media/2026/Galleries/the%20home.png,"[74,116,117,103,109,118,154,155,156,180,181,182,412,413,414,415,416,417,363,364,365,366,367,368]","Bring My Flowers, Kadhaikaari, Wht A Home, Ashena, Vedic Poojan, Blessed Stems, Pankhuri"
510,Video,,Switch for the Now,,"[4811,4813,4950,4952,5405]",on,,,https://zulushop.in/uploads/media/2026/Galleries/the%20appliance.png,"[113,115,25,132,72,112,114,76,135,335,336,337,338]","Lapntops D, A1 Music, Lapntops A, Laptopbazzar, Electri City"
511,Video,,Gali for the Giggles,,"[4832,5126,5799]",on,,,https://zulushop.in/uploads/media/2026/Galleries/kids%20corner.png,"[77,126,133,106,174,175,176,418,419,420,421,422,423,424,426,427,428,429,430,431,432,433]","The Stationers, Balloon 76, Cute Edutainment "
512,Video,,Add-on for the Attitude,,"[4834,5119,5152,5287,5320,5380,5382,5407,5409,5552]",on,,,https://zulushop.in/uploads/media/2026/Galleries/accessories.png,"[101,121,122,123,124,125,91,128,129,149,150,217,221,222,223,224,242,243,245,300,301,330,331,332,333,334,326,327,328,400,401,402,403,404,295,317,318,319,320,381,382,383,384,385,386,387,388]","Golden Eye, Amourr Jewel, Asseto Creations, Amadika, 1727 Pink Jaipur, Aadiya Fine Jewellery, Soi Opera, Indigo, Suvidha Opticals, Gifting Best Wishes"
513,Video,,Bichona for the Sleep,,"[5169,5277,5284,5285,5445]",on,,,https://zulushop.in/uploads/media/2026/Galleries/handloom.png,"[164,165,189,191,192,193,207,208,209,210,211,200,201,202,203,204,205,206,389,390,391,392,393,394,395,396,397,398,399]","Kriti Life, Indian Route, Herbs4sure & Azad Oil Mill, Mother Home, Aavyaa Incense Store"
514,Video,,Aangan for the Evening,,"[5321,5322]",on,,,https://zulushop.in/uploads/media/2026/Galleries/patio.png,"[266,267,268,269,270,271,272,273,274,275]","Tanu Furniture, Mamta Furniture"
515,Video,,Tayyar for the Taali,,"[5403,5442]",on,,,https://zulushop.in/uploads/media/2026/Galleries/kids%20fashion.png,"[302,303,304,305,373,374,375,376,377,378,379,380]","Tini Bib, Merrigo Kidz"
